"Gebieden in Nederland 2015"
""
"";"Onderwerp"
"";"||Code";"Naam";"Sortering naam";"|||Code";"||Omschrijving";"|||Code";"||Omschrijving"
"Regio's";"code";"naam";"naam";"code";"omschrijving";"code";"omschrijving"
"Franekeradeel";"GM0070";"Franekeradeel";"Franekeradeel";"4";"20000tot50000inwoners";"4";"Weinigstedelijk"
"De Friese Meren";"GM1921";"DeFrieseMeren";"Friese+Meren";"5";"50000tot100000inwoners";"4";"Weinigstedelijk"
"Geertruidenberg";"GM0779";"Geertruidenberg";"Geertruidenberg";"4";"20000tot50000inwoners";"3";"Matigstedelijk"
"Geldermalsen";"GM0236";"Geldermalsen";"Geldermalsen";"4";"20000tot50000inwoners";"4";"Weinigstedelijk"
"Geldrop-Mierlo";"GM1771";"Geldrop-Mierlo";"Geldrop+Mierlo";"4";"20000tot50000inwoners";"3";"Matigstedelijk"
"Gemert-Bakel";"GM1652";"Gemert-Bakel";"Gemert+Bakel";"4";"20000tot50000inwoners";"4";"Weinigstedelijk"
"Gennep";"GM0907";"Gennep";"Gennep";"3";"10000tot20000inwoners";"4";"Weinigstedelijk"
"Giessenlanden";"GM0689";"Giessenlanden";"Giessenlanden";"3";"10000tot20000inwoners";"5";"Nietstedelijk"
"Gilze en Rijen";"GM0784";"GilzeenRijen";"GilzeenRijen";"4";"20000tot50000inwoners";"3";"Matigstedelijk"
"Goeree-Overflakkee";"GM1924";"Goeree-Overflakkee";"Goeree+Overflakkee";"4";"20000tot50000inwoners";"4";"Weinigstedelijk"
"Goes";"GM0664";"Goes";"Goes";"4";"20000tot50000inwoners";"3";"Matigstedelijk"
"Goirle";"GM0785";"Goirle";"Goirle";"4";"20000tot50000inwoners";"3";"Matigstedelijk"
"Gorinchem";"GM0512";"Gorinchem";"Gorinchem";"4";"20000tot50000inwoners";"2";"Sterkstedelijk"
"Gouda";"GM0513";"Gouda";"Gouda";"5";"50000tot100000inwoners";"2";"Sterkstedelijk"
"Grave";"GM0786";"Grave";"Grave";"3";"10000tot20000inwoners";"4";"Weinigstedelijk"
"'s-Gravenhage (gemeente)";"GM0518";"'s-Gravenhage";"Gravenhage's-";"8";"250000inwonersofmeer";"1";"Zeersterkstedelijk"
"Groesbeek";"GM0241";"Groesbeek";"Groesbeek";"4";"20000tot50000inwoners";"4";"Weinigstedelijk"
"Groningen (gemeente)";"GM0014";"Groningen";"Groningen";"7";"150000tot250000inwoners";"1";"Zeersterkstedelijk"
"Grootegast";"GM0015";"Grootegast";"Grootegast";"3";"10000tot20000inwoners";"5";"Nietstedelijk"
"Gulpen-Wittem";"GM1729";"Gulpen-Wittem";"Gulpen+Wittem";"3";"10000tot20000inwoners";"5";"Nietstedelijk"
"Haaksbergen";"GM0158";"Haaksbergen";"Haaksbergen";"4";"20000tot50000inwoners";"4";"Weinigstedelijk"
"Haaren";"GM0788";"Haaren";"Haaren";"3";"10000tot20000inwoners";"5";"Nietstedelijk"
"Haarlem";"GM0392";"Haarlem";"Haarlem";"7";"150000tot250000inwoners";"1";"Zeersterkstedelijk"
"Haarlemmerliede en Spaarnwoude";"GM0393";"HaarlemmerliedeenSpaarnwoude";"HaarlemmerliedeenSpaarnwoude";"2";"5000tot10000inwoners";"4";"Weinigstedelijk"
"Haarlemmermeer";"GM0394";"Haarlemmermeer";"Haarlemmermeer";"6";"100000tot150000inwoners";"2";"Sterkstedelijk"
"Halderberge";"GM1655";"Halderberge";"Halderberge";"4";"20000tot50000inwoners";"4";"Weinigstedelijk"
