"Perioden;""Regio's"";""Gemiddelde woningwaarde (1 000 euro)"""
"2011;""Delft en Westland (CR)"";240"
"2012;""Delft en Westland (CR)"";238"
"2013;""Delft en Westland (CR)"";229"
"2014;""Delft en Westland (CR)"";217"
"2015;""Delft en Westland (CR)"";211"
"2016;""Delft en Westland (CR)"";213"
"2017;""Delft en Westland (CR)"";224"
"2018**;""Delft en Westland (CR)"";229"
"2019*;""Delft en Westland (CR)"";249"
"2020*;""Delft en Westland (CR)"";277"
"2011;""Oost-Zuid-Holland (CR)"";252"
"2012;""Oost-Zuid-Holland (CR)"";245"
"2013;""Oost-Zuid-Holland (CR)"";237"
"2014;""Oost-Zuid-Holland (CR)"";223"
"2015;""Oost-Zuid-Holland (CR)"";217"
"2016;""Oost-Zuid-Holland (CR)"";216"
"2017;""Oost-Zuid-Holland (CR)"";221"
"2018**;""Oost-Zuid-Holland (CR)"";231"
"2019*;""Oost-Zuid-Holland (CR)"";247"
"2020*;""Oost-Zuid-Holland (CR)"";267"
"2011;""Groot-Rijnmond (CR)"";195"
"2012;""Groot-Rijnmond (CR)"";192"
"2013;""Groot-Rijnmond (CR)"";185"
"2014;""Groot-Rijnmond (CR)"";177"
"2015;""Groot-Rijnmond (CR)"";172"
"2016;""Groot-Rijnmond (CR)"";173"
"2017;""Groot-Rijnmond (CR)"";179"
"2018**;""Groot-Rijnmond (CR)"";189"
"2019*;""Groot-Rijnmond (CR)"";210"
"2020*;""Groot-Rijnmond (CR)"";236"
"2011;""Zuidoost-Zuid-Holland (CR)"";215"
"2012;""Zuidoost-Zuid-Holland (CR)"";210"
"2013;""Zuidoost-Zuid-Holland (CR)"";202"
"2014;""Zuidoost-Zuid-Holland (CR)"";190"
"2015;""Zuidoost-Zuid-Holland (CR)"";184"
"2016;""Zuidoost-Zuid-Holland (CR)"";188"
"2017;""Zuidoost-Zuid-Holland (CR)"";192"
"2018**;""Zuidoost-Zuid-Holland (CR)"";201"
"2019*;""Zuidoost-Zuid-Holland (CR)"";213"
"2020*;""Zuidoost-Zuid-Holland (CR)"";231"
"2011;""Zeeuwsch-Vlaanderen (CR)"";173"
"2012;""Zeeuwsch-Vlaanderen (CR)"";172"
"2013;""Zeeuwsch-Vlaanderen (CR)"";171"
"2014;""Zeeuwsch-Vlaanderen (CR)"";170"
"2015;""Zeeuwsch-Vlaanderen (CR)"";170"
"2016;""Zeeuwsch-Vlaanderen (CR)"";171"
"2017;""Zeeuwsch-Vlaanderen (CR)"";175"
"2018**;""Zeeuwsch-Vlaanderen (CR)"";180"
"2019*;""Zeeuwsch-Vlaanderen (CR)"";188"
"2020*;""Zeeuwsch-Vlaanderen (CR)"";199"
"2011;""Overig Zeeland (CR)"";208"
"2012;""Overig Zeeland (CR)"";209"
"2013;""Overig Zeeland (CR)"";203"
"2014;""Overig Zeeland (CR)"";195"
"2015;""Overig Zeeland (CR)"";192"
"2016;""Overig Zeeland (CR)"";192"
"2017;""Overig Zeeland (CR)"";196"
"2018**;""Overig Zeeland (CR)"";200"
"2019*;""Overig Zeeland (CR)"";209"
"2020*;""Overig Zeeland (CR)"";219"
"2011;""West-Noord-Brabant (CR)"";242"
"2012;""West-Noord-Brabant (CR)"";238"
"2013;""West-Noord-Brabant (CR)"";230"
"2014;""West-Noord-Brabant (CR)"";219"
"2015;""West-Noord-Brabant (CR)"";216"
"2016;""West-Noord-Brabant (CR)"";215"
"2017;""West-Noord-Brabant (CR)"";223"
"2018**;""West-Noord-Brabant (CR)"";232"
"2019*;""West-Noord-Brabant (CR)"";245"
"2020*;""West-Noord-Brabant (CR)"";262"
"2011;""Midden-Noord-Brabant (CR)"";249"
"2012;""Midden-Noord-Brabant (CR)"";242"
"2013;""Midden-Noord-Brabant (CR)"";232"
"2014;""Midden-Noord-Brabant (CR)"";219"
"2015;""Midden-Noord-Brabant (CR)"";212"
"2016;""Midden-Noord-Brabant (CR)"";212"
"2017;""Midden-Noord-Brabant (CR)"";216"
"2018**;""Midden-Noord-Brabant (CR)"";225"
"2019*;""Midden-Noord-Brabant (CR)"";238"
"2020*;""Midden-Noord-Brabant (CR)"";255"
"2011;""Noordoost-Noord-Brabant (CR)"";283"
"2012;""Noordoost-Noord-Brabant (CR)"";274"
"2013;""Noordoost-Noord-Brabant (CR)"";261"
"2014;""Noordoost-Noord-Brabant (CR)"";247"
"2015;""Noordoost-Noord-Brabant (CR)"";238"
"2016;""Noordoost-Noord-Brabant (CR)"";238"
"2017;""Noordoost-Noord-Brabant (CR)"";245"
"2018**;""Noordoost-Noord-Brabant (CR)"";254"
"2019*;""Noordoost-Noord-Brabant (CR)"";272"
"2020*;""Noordoost-Noord-Brabant (CR)"";290"
"2011;""Zuidoost-Noord-Brabant (CR)"";275"
"2012;""Zuidoost-Noord-Brabant (CR)"";267"
"2013;""Zuidoost-Noord-Brabant (CR)"";256"
"2014;""Zuidoost-Noord-Brabant (CR)"";241"
"2015;""Zuidoost-Noord-Brabant (CR)"";234"
"2016;""Zuidoost-Noord-Brabant (CR)"";233"
"2017;""Zuidoost-Noord-Brabant (CR)"";239"
"2018**;""Zuidoost-Noord-Brabant (CR)"";249"
"2019*;""Zuidoost-Noord-Brabant (CR)"";267"
"2020*;""Zuidoost-Noord-Brabant (CR)"";286"
"2011;""Noord-Limburg (CR)"";226"
"2012;""Noord-Limburg (CR)"";220"
"2013;""Noord-Limburg (CR)"";213"
"2014;""Noord-Limburg (CR)"";205"
"2015;""Noord-Limburg (CR)"";198"
"2016;""Noord-Limburg (CR)"";201"
"2017;""Noord-Limburg (CR)"";208"
"2018**;""Noord-Limburg (CR)"";212"
"2019*;""Noord-Limburg (CR)"";221"
"2020*;""Noord-Limburg (CR)"";237"
"2011;""Midden-Limburg (CR)"";219"
"2012;""Midden-Limburg (CR)"";215"
"2013;""Midden-Limburg (CR)"";207"
"2014;""Midden-Limburg (CR)"";199"
"2015;""Midden-Limburg (CR)"";193"
"2016;""Midden-Limburg (CR)"";196"
"2017;""Midden-Limburg (CR)"";199"
"2018**;""Midden-Limburg (CR)"";208"
"2019*;""Midden-Limburg (CR)"";220"
"2020*;""Midden-Limburg (CR)"";235"
"2011;""Zuid-Limburg (CR)"";183"
"2012;""Zuid-Limburg (CR)"";179"
"2013;""Zuid-Limburg (CR)"";172"
"2014;""Zuid-Limburg (CR)"";163"
"2015;""Zuid-Limburg (CR)"";158"
"2016;""Zuid-Limburg (CR)"";162"
