"ID;""StatusVanBewoning"";""RegioS"";""Perioden"";""TotaleWoningvoorraad_1"";""Koopwoningen_2"";""TotaalHuurwoningen_3"";""EigendomWoningcorporatie_4"";""EigendomOverigeVerhuurders_5"";""EigendomOnbekend_6"""
"232;""T001235"";""CR13  "";""2012JJ00"";""  269671"";""  166919"";""   95578"";""   69569"";""   26009"";""    7174"""
"233;""T001235"";""CR13  "";""2013JJ00"";""  275601"";""  168293"";""  101206"";""   70591"";""   30615"";""    6102"""
"234;""T001235"";""CR13  "";""2014JJ00"";""  279092"";""  169451"";""  103764"";""   69943"";""   33821"";""    5877"""
"235;""T001235"";""CR13  "";""2015JJ00"";""  281918"";""  171269"";""  104901"";""   72785"";""   32116"";""    5748"""
"236;""T001235"";""CR13  "";""2016JJ00"";""  285281"";""  173654"";""  105563"";""   72391"";""   33172"";""    6064"""
"237;""T001235"";""CR13  "";""2017JJ00"";""  285293"";""  174839"";""  105149"";""   71102"";""   34047"";""    5305"""
"238;""T001235"";""CR13  "";""2018JJ00"";""  286046"";""  178300"";""  103715"";""   72165"";""   31550"";""    4031"""
"240;""T001235"";""CR14  "";""2012JJ00"";""  170299"";""  110446"";""   58320"";""   41498"";""   16822"";""    1533"""
"241;""T001235"";""CR14  "";""2013JJ00"";""  172556"";""  111684"";""   59536"";""   41752"";""   17784"";""    1336"""
"242;""T001235"";""CR14  "";""2014JJ00"";""  174645"";""  112375"";""   60526"";""   41626"";""   18900"";""    1744"""
"243;""T001235"";""CR14  "";""2015JJ00"";""  175576"";""  112965"";""   60944"";""   42207"";""   18737"";""    1667"""
"244;""T001235"";""CR14  "";""2016JJ00"";""  176238"";""  113569"";""   60911"";""   42196"";""   18715"";""    1758"""
"245;""T001235"";""CR14  "";""2017JJ00"";""  176997"";""  113977"";""   61349"";""   42203"";""   19146"";""    1671"""
"246;""T001235"";""CR14  "";""2018JJ00"";""  177868"";""  116033"";""   60182"";""   42155"";""   18027"";""    1653"""
"248;""T001235"";""CR15  "";""2012JJ00"";""  312086"";""  169630"";""  139178"";""  100854"";""   38324"";""    3278"""
"249;""T001235"";""CR15  "";""2013JJ00"";""  317640"";""  171268"";""  142817"";""  102278"";""   40539"";""    3555"""
"250;""T001235"";""CR15  "";""2014JJ00"";""  320661"";""  171573"";""  144729"";""  101967"";""   42762"";""    4359"""
"251;""T001235"";""CR15  "";""2015JJ00"";""  324379"";""  172664"";""  148640"";""  105351"";""   43289"";""    3075"""
"252;""T001235"";""CR15  "";""2016JJ00"";""  327245"";""  174276"";""  149677"";""  105648"";""   44029"";""    3292"""
"253;""T001235"";""CR15  "";""2017JJ00"";""  328001"";""  174851"";""  149511"";""  103524"";""   45987"";""    3639"""
"254;""T001235"";""CR15  "";""2018JJ00"";""  331348"";""  179242"";""  148800"";""  104263"";""   44537"";""    3306"""
"256;""T001235"";""CR16  "";""2012JJ00"";""   93137"";""   60206"";""   31951"";""   25106"";""    6845"";""     980"""
"257;""T001235"";""CR16  "";""2013JJ00"";""   94050"";""   60927"";""   32304"";""   25662"";""    6642"";""     819"""
"258;""T001235"";""CR16  "";""2014JJ00"";""   95012"";""   61564"";""   32583"";""   25473"";""    7110"";""     865"""
"259;""T001235"";""CR16  "";""2015JJ00"";""   95789"";""   62178"";""   32692"";""   25524"";""    7168"";""     919"""
"260;""T001235"";""CR16  "";""2016JJ00"";""   96915"";""   63450"";""   32448"";""   25501"";""    6947"";""    1017"""
"261;""T001235"";""CR16  "";""2017JJ00"";""   97771"";""   63561"";""   33173"";""   25452"";""    7721"";""    1037"""
"262;""T001235"";""CR16  "";""2018JJ00"";""   98727"";""   64424"";""   33356"";""   25495"";""    7861"";""     947"""
"264;""T001235"";""CR17  "";""2012JJ00"";""  528124"";""  303721"";""  215302"";""  153353"";""   61949"";""    9101"""
"265;""T001235"";""CR17  "";""2013JJ00"";""  534592"";""  307541"";""  221205"";""  154208"";""   66997"";""    5846"""
