"Status van bewoning;""Regio's"";""Perioden"";""Totale woningvoorraad (aantal)"";""Koopwoningen (aantal)"";""Huurwoningen/Totaal huurwoningen (aantal)"";""Huurwoningen/Eigendom woningcorporatie (aantal)"";""Huurwoningen/Eigendom overige verhuurders (aantal)"";""Eigendom onbekend (aantal)"""
"Totaal;""Zuidwest-Overijssel (CR)"";""2012"";64561;38647;25491;18932;6559;423"
"Totaal;""Zuidwest-Overijssel (CR)"";""2013"";64688;38814;25600;18768;6832;274"
"Totaal;""Zuidwest-Overijssel (CR)"";""2014"";64867;39084;25520;18468;7052;263"
"Totaal;""Zuidwest-Overijssel (CR)"";""2015"";65391;39159;25656;18548;7108;576"
"Totaal;""Zuidwest-Overijssel (CR)"";""2016"";66392;39675;26422;18951;7471;295"
"Totaal;""Zuidwest-Overijssel (CR)"";""2017"";67541;39723;27485;19185;8300;333"
"Totaal;""Zuidwest-Overijssel (CR)"";""2018"";67909;40434;27288;19122;8166;187"
"Totaal;""Zuidwest-Overijssel (CR)"";""2019"";68741;41444;27167;19131;8036;130"
"Totaal;""Zuidwest-Overijssel (CR)"";""2020"";69614;41696;27659;19299;8360;259"
"Totaal;""Twente (CR)"";""2012"";268317;158478;106712;81215;25497;3127"
"Totaal;""Twente (CR)"";""2013"";269962;159424;108221;81236;26985;2317"
"Totaal;""Twente (CR)"";""2014"";272219;159799;108946;80414;28532;3474"
"Totaal;""Twente (CR)"";""2015"";273339;160819;109185;82885;26300;3335"
"Totaal;""Twente (CR)"";""2016"";274214;161282;109117;80430;28687;3815"
"Totaal;""Twente (CR)"";""2017"";275224;161070;110366;81184;29182;3788"
"Totaal;""Twente (CR)"";""2018"";275867;164895;107539;79833;27706;3433"
"Totaal;""Twente (CR)"";""2019"";278280;167106;110635;80274;30361;539"
"Totaal;""Twente (CR)"";""2020"";280408;168224;111453;80053;31400;731"
"Totaal;""Veluwe (CR)"";""2012"";269671;166919;95578;69569;26009;7174"
"Totaal;""Veluwe (CR)"";""2013"";275601;168293;101206;70591;30615;6102"
"Totaal;""Veluwe (CR)"";""2014"";279092;169451;103764;69943;33821;5877"
"Totaal;""Veluwe (CR)"";""2015"";281918;171269;104901;72785;32116;5748"
"Totaal;""Veluwe (CR)"";""2016"";285281;173654;105563;72391;33172;6064"
"Totaal;""Veluwe (CR)"";""2017"";285293;174839;105149;71102;34047;5305"
"Totaal;""Veluwe (CR)"";""2018"";286046;178300;103715;72165;31550;4031"
"Totaal;""Veluwe (CR)"";""2019"";289386;182171;106244;74981;31263;971"
"Totaal;""Veluwe (CR)"";""2020"";293144;184741;107722;75080;32642;681"
"Totaal;""Achterhoek (CR)"";""2012"";170299;110446;58320;41498;16822;1533"
"Totaal;""Achterhoek (CR)"";""2013"";172556;111684;59536;41752;17784;1336"
"Totaal;""Achterhoek (CR)"";""2014"";174645;112375;60526;41626;18900;1744"
"Totaal;""Achterhoek (CR)"";""2015"";175576;112965;60944;42207;18737;1667"
"Totaal;""Achterhoek (CR)"";""2016"";176238;113569;60911;42196;18715;1758"
"Totaal;""Achterhoek (CR)"";""2017"";176997;113977;61349;42203;19146;1671"
"Totaal;""Achterhoek (CR)"";""2018"";177868;116033;60182;42155;18027;1653"
"Totaal;""Achterhoek (CR)"";""2019"";179045;117791;60936;43154;17782;318"
"Totaal;""Achterhoek (CR)"";""2020"";179906;118460;61172;43028;18144;274"
"Totaal;""Arnhem/Nijmegen (CR)"";""2012"";312086;169630;139178;100854;38324;3278"
"Totaal;""Arnhem/Nijmegen (CR)"";""2013"";317640;171268;142817;102278;40539;3555"
"Totaal;""Arnhem/Nijmegen (CR)"";""2014"";320661;171573;144729;101967;42762;4359"
"Totaal;""Arnhem/Nijmegen (CR)"";""2015"";324379;172664;148640;105351;43289;3075"
"Totaal;""Arnhem/Nijmegen (CR)"";""2016"";327245;174276;149677;105648;44029;3292"
"Totaal;""Arnhem/Nijmegen (CR)"";""2017"";328001;174851;149511;103524;45987;3639"
"Totaal;""Arnhem/Nijmegen (CR)"";""2018"";331348;179242;148800;104263;44537;3306"
"Totaal;""Arnhem/Nijmegen (CR)"";""2019"";334914;183501;149613;104967;44646;1800"
"Totaal;""Arnhem/Nijmegen (CR)"";""2020"";338181;184905;151034;105071;45963;2242"
"Totaal;""Zuidwest-Gelderland (CR)"";""2012"";93137;60206;31951;25106;6845;980"
"Totaal;""Zuidwest-Gelderland (CR)"";""2013"";94050;60927;32304;25662;6642;819"
"Totaal;""Zuidwest-Gelderland (CR)"";""2014"";95012;61564;32583;25473;7110;865"
"Totaal;""Zuidwest-Gelderland (CR)"";""2015"";95789;62178;32692;25524;7168;919"
"Totaal;""Zuidwest-Gelderland (CR)"";""2016"";96915;63450;32448;25501;6947;1017"
"Totaal;""Zuidwest-Gelderland (CR)"";""2017"";97771;63561;33173;25452;7721;1037"
"Totaal;""Zuidwest-Gelderland (CR)"";""2018"";98727;64424;33356;25495;7861;947"
"Totaal;""Zuidwest-Gelderland (CR)"";""2019"";99911;66803;32624;25612;7012;484"
"Totaal;""Zuidwest-Gelderland (CR)"";""2020"";101141;67824;32840;25394;7446;477"
"Totaal;""Utrecht (CR)"";""2012"";528124;303721;215302;153353;61949;9101"
"Totaal;""Utrecht (CR)"";""2013"";534592;307541;221205;154208;66997;5846"
"Totaal;""Utrecht (CR)"";""2014"";539078;308395;224440;153103;71337;6243"
"Totaal;""Utrecht (CR)"";""2015"";543473;310707;225860;155523;70337;6906"
"Totaal;""Utrecht (CR)"";""2016"";548114;313875;227499;153959;73540;6740"
"Totaal;""Utrecht (CR)"";""2017"";554305;316916;230281;153801;76480;7108"
"Totaal;""Utrecht (CR)"";""2018"";557564;319764;231170;153840;77330;6630"
"Totaal;""Utrecht (CR)"";""2019"";578906;339464;237872;160241;77631;1570"
"Totaal;""Utrecht (CR)"";""2020"";585924;342060;241833;160618;81215;2031"
"Totaal;""Kop van Noord-Holland (CR)"";""2012"";159262;103067;55456;43493;11963;739"
"Totaal;""Kop van Noord-Holland (CR)"";""2013"";160576;103728;56169;43497;12672;679"
"Totaal;""Kop van Noord-Holland (CR)"";""2014"";163383;104263;57495;43075;14420;1625"
"Totaal;""Kop van Noord-Holland (CR)"";""2015"";164485;105122;57758;43267;14491;1605"
"Totaal;""Kop van Noord-Holland (CR)"";""2016"";165276;105915;57925;43025;14900;1436"
"Totaal;""Kop van Noord-Holland (CR)"";""2017"";166185;106492;58141;42912;15229;1552"
"Totaal;""Kop van Noord-Holland (CR)"";""2018"";166967;107884;57571;40795;16776;1512"
"Totaal;""Kop van Noord-Holland (CR)"";""2019"";167843;110281;56953;43083;13870;609"
