"Perioden;""Regio van vestiging"";""Regio van vertrek"";""Tussen gemeenten verhuisde personen (aantal)"""
"2014;""Oost-Groningen (CR)"";""IJmond (CR)"";14"
"2015;""Oost-Groningen (CR)"";""IJmond (CR)"";16"
"2016;""Oost-Groningen (CR)"";""IJmond (CR)"";14"
"2017;""Oost-Groningen (CR)"";""IJmond (CR)"";23"
"2018;""Oost-Groningen (CR)"";""IJmond (CR)"";31"
"2019;""Oost-Groningen (CR)"";""IJmond (CR)"";27"
"2020;""Oost-Groningen (CR)"";""IJmond (CR)"";28"
"2011;""Oost-Groningen (CR)"";""Agglomeratie Haarlem (CR)"";14"
"2012;""Oost-Groningen (CR)"";""Agglomeratie Haarlem (CR)"";16"
"2013;""Oost-Groningen (CR)"";""Agglomeratie Haarlem (CR)"";13"
"2014;""Oost-Groningen (CR)"";""Agglomeratie Haarlem (CR)"";20"
"2015;""Oost-Groningen (CR)"";""Agglomeratie Haarlem (CR)"";11"
"2016;""Oost-Groningen (CR)"";""Agglomeratie Haarlem (CR)"";21"
"2017;""Oost-Groningen (CR)"";""Agglomeratie Haarlem (CR)"";12"
"2018;""Oost-Groningen (CR)"";""Agglomeratie Haarlem (CR)"";22"
"2019;""Oost-Groningen (CR)"";""Agglomeratie Haarlem (CR)"";12"
"2020;""Oost-Groningen (CR)"";""Agglomeratie Haarlem (CR)"";25"
"2011;""Oost-Groningen (CR)"";""Zaanstreek (CR)"";25"
"2012;""Oost-Groningen (CR)"";""Zaanstreek (CR)"";8"
"2013;""Oost-Groningen (CR)"";""Zaanstreek (CR)"";9"
"2014;""Oost-Groningen (CR)"";""Zaanstreek (CR)"";11"
"2015;""Oost-Groningen (CR)"";""Zaanstreek (CR)"";15"
"2016;""Oost-Groningen (CR)"";""Zaanstreek (CR)"";23"
"2017;""Oost-Groningen (CR)"";""Zaanstreek (CR)"";17"
"2018;""Oost-Groningen (CR)"";""Zaanstreek (CR)"";14"
"2019;""Oost-Groningen (CR)"";""Zaanstreek (CR)"";13"
"2020;""Oost-Groningen (CR)"";""Zaanstreek (CR)"";20"
"2011;""Oost-Groningen (CR)"";""Groot-Amsterdam (CR)"";56"
"2012;""Oost-Groningen (CR)"";""Groot-Amsterdam (CR)"";64"
"2013;""Oost-Groningen (CR)"";""Groot-Amsterdam (CR)"";40"
"2014;""Oost-Groningen (CR)"";""Groot-Amsterdam (CR)"";40"
"2015;""Oost-Groningen (CR)"";""Groot-Amsterdam (CR)"";67"
"2016;""Oost-Groningen (CR)"";""Groot-Amsterdam (CR)"";113"
"2017;""Oost-Groningen (CR)"";""Groot-Amsterdam (CR)"";99"
"2018;""Oost-Groningen (CR)"";""Groot-Amsterdam (CR)"";106"
"2019;""Oost-Groningen (CR)"";""Groot-Amsterdam (CR)"";104"
"2020;""Oost-Groningen (CR)"";""Groot-Amsterdam (CR)"";133"
"2011;""Oost-Groningen (CR)"";""Het Gooi en Vechtstreek (CR)"";25"
"2012;""Oost-Groningen (CR)"";""Het Gooi en Vechtstreek (CR)"";33"
"2013;""Oost-Groningen (CR)"";""Het Gooi en Vechtstreek (CR)"";15"
"2014;""Oost-Groningen (CR)"";""Het Gooi en Vechtstreek (CR)"";12"
"2015;""Oost-Groningen (CR)"";""Het Gooi en Vechtstreek (CR)"";16"
"2016;""Oost-Groningen (CR)"";""Het Gooi en Vechtstreek (CR)"";31"
"2017;""Oost-Groningen (CR)"";""Het Gooi en Vechtstreek (CR)"";19"
"2018;""Oost-Groningen (CR)"";""Het Gooi en Vechtstreek (CR)"";14"
"2019;""Oost-Groningen (CR)"";""Het Gooi en Vechtstreek (CR)"";11"
"2020;""Oost-Groningen (CR)"";""Het Gooi en Vechtstreek (CR)"";18"
"2011;""Oost-Groningen (CR)"";""Agglomeratie Leiden en Bollenstreek (CR)"";55"
"2012;""Oost-Groningen (CR)"";""Agglomeratie Leiden en Bollenstreek (CR)"";19"
"2013;""Oost-Groningen (CR)"";""Agglomeratie Leiden en Bollenstreek (CR)"";28"
