"Perioden;""Regio van vestiging"";""Regio van vertrek"";""Tussen gemeenten verhuisde personen (aantal)"""
"2012;""Alkmaar en omgeving (CR)"";""Zuidwest-Drenthe (CR)"";11"
"2013;""Alkmaar en omgeving (CR)"";""Zuidwest-Drenthe (CR)"";18"
"2014;""Alkmaar en omgeving (CR)"";""Zuidwest-Drenthe (CR)"";25"
"2015;""Alkmaar en omgeving (CR)"";""Zuidwest-Drenthe (CR)"";36"
"2016;""Alkmaar en omgeving (CR)"";""Zuidwest-Drenthe (CR)"";25"
"2017;""Alkmaar en omgeving (CR)"";""Zuidwest-Drenthe (CR)"";16"
"2018;""Alkmaar en omgeving (CR)"";""Zuidwest-Drenthe (CR)"";22"
"2019;""Alkmaar en omgeving (CR)"";""Zuidwest-Drenthe (CR)"";14"
"2020;""Alkmaar en omgeving (CR)"";""Zuidwest-Drenthe (CR)"";10"
"2011;""Alkmaar en omgeving (CR)"";""Noord-Overijssel (CR)"";44"
"2012;""Alkmaar en omgeving (CR)"";""Noord-Overijssel (CR)"";43"
"2013;""Alkmaar en omgeving (CR)"";""Noord-Overijssel (CR)"";17"
"2014;""Alkmaar en omgeving (CR)"";""Noord-Overijssel (CR)"";50"
"2015;""Alkmaar en omgeving (CR)"";""Noord-Overijssel (CR)"";31"
"2016;""Alkmaar en omgeving (CR)"";""Noord-Overijssel (CR)"";39"
"2017;""Alkmaar en omgeving (CR)"";""Noord-Overijssel (CR)"";42"
"2018;""Alkmaar en omgeving (CR)"";""Noord-Overijssel (CR)"";30"
"2019;""Alkmaar en omgeving (CR)"";""Noord-Overijssel (CR)"";28"
"2020;""Alkmaar en omgeving (CR)"";""Noord-Overijssel (CR)"";23"
"2011;""Alkmaar en omgeving (CR)"";""Zuidwest-Overijssel (CR)"";15"
"2012;""Alkmaar en omgeving (CR)"";""Zuidwest-Overijssel (CR)"";12"
"2013;""Alkmaar en omgeving (CR)"";""Zuidwest-Overijssel (CR)"";13"
"2014;""Alkmaar en omgeving (CR)"";""Zuidwest-Overijssel (CR)"";12"
"2015;""Alkmaar en omgeving (CR)"";""Zuidwest-Overijssel (CR)"";14"
"2016;""Alkmaar en omgeving (CR)"";""Zuidwest-Overijssel (CR)"";21"
"2017;""Alkmaar en omgeving (CR)"";""Zuidwest-Overijssel (CR)"";19"
"2018;""Alkmaar en omgeving (CR)"";""Zuidwest-Overijssel (CR)"";11"
"2019;""Alkmaar en omgeving (CR)"";""Zuidwest-Overijssel (CR)"";12"
"2020;""Alkmaar en omgeving (CR)"";""Zuidwest-Overijssel (CR)"";10"
"2011;""Alkmaar en omgeving (CR)"";""Twente (CR)"";57"
"2012;""Alkmaar en omgeving (CR)"";""Twente (CR)"";52"
"2013;""Alkmaar en omgeving (CR)"";""Twente (CR)"";40"
"2014;""Alkmaar en omgeving (CR)"";""Twente (CR)"";36"
"2015;""Alkmaar en omgeving (CR)"";""Twente (CR)"";74"
"2016;""Alkmaar en omgeving (CR)"";""Twente (CR)"";64"
"2017;""Alkmaar en omgeving (CR)"";""Twente (CR)"";50"
"2018;""Alkmaar en omgeving (CR)"";""Twente (CR)"";43"
"2019;""Alkmaar en omgeving (CR)"";""Twente (CR)"";64"
"2020;""Alkmaar en omgeving (CR)"";""Twente (CR)"";30"
"2011;""Alkmaar en omgeving (CR)"";""Veluwe (CR)"";75"
"2012;""Alkmaar en omgeving (CR)"";""Veluwe (CR)"";54"
"2013;""Alkmaar en omgeving (CR)"";""Veluwe (CR)"";63"
"2014;""Alkmaar en omgeving (CR)"";""Veluwe (CR)"";72"
"2015;""Alkmaar en omgeving (CR)"";""Veluwe (CR)"";72"
"2016;""Alkmaar en omgeving (CR)"";""Veluwe (CR)"";98"
"2017;""Alkmaar en omgeving (CR)"";""Veluwe (CR)"";85"
"2018;""Alkmaar en omgeving (CR)"";""Veluwe (CR)"";93"
"2019;""Alkmaar en omgeving (CR)"";""Veluwe (CR)"";123"
"2020;""Alkmaar en omgeving (CR)"";""Veluwe (CR)"";68"
"2011;""Alkmaar en omgeving (CR)"";""Achterhoek (CR)"";36"
"2012;""Alkmaar en omgeving (CR)"";""Achterhoek (CR)"";39"
"2013;""Alkmaar en omgeving (CR)"";""Achterhoek (CR)"";33"
"2014;""Alkmaar en omgeving (CR)"";""Achterhoek (CR)"";46"
"2015;""Alkmaar en omgeving (CR)"";""Achterhoek (CR)"";27"
"2016;""Alkmaar en omgeving (CR)"";""Achterhoek (CR)"";103"
"2017;""Alkmaar en omgeving (CR)"";""Achterhoek (CR)"";30"
"2018;""Alkmaar en omgeving (CR)"";""Achterhoek (CR)"";36"
"2019;""Alkmaar en omgeving (CR)"";""Achterhoek (CR)"";30"
"2020;""Alkmaar en omgeving (CR)"";""Achterhoek (CR)"";24"
"2011;""Alkmaar en omgeving (CR)"";""Arnhem/Nijmegen (CR)"";60"
"2012;""Alkmaar en omgeving (CR)"";""Arnhem/Nijmegen (CR)"";73"
"2013;""Alkmaar en omgeving (CR)"";""Arnhem/Nijmegen (CR)"";72"
"2014;""Alkmaar en omgeving (CR)"";""Arnhem/Nijmegen (CR)"";67"
"2015;""Alkmaar en omgeving (CR)"";""Arnhem/Nijmegen (CR)"";78"
"2016;""Alkmaar en omgeving (CR)"";""Arnhem/Nijmegen (CR)"";116"
"2017;""Alkmaar en omgeving (CR)"";""Arnhem/Nijmegen (CR)"";130"
"2018;""Alkmaar en omgeving (CR)"";""Arnhem/Nijmegen (CR)"";112"
"2019;""Alkmaar en omgeving (CR)"";""Arnhem/Nijmegen (CR)"";99"
"2020;""Alkmaar en omgeving (CR)"";""Arnhem/Nijmegen (CR)"";81"
"2011;""Alkmaar en omgeving (CR)"";""Zuidwest-Gelderland (CR)"";15"
"2012;""Alkmaar en omgeving (CR)"";""Zuidwest-Gelderland (CR)"";33"
"2013;""Alkmaar en omgeving (CR)"";""Zuidwest-Gelderland (CR)"";20"
"2014;""Alkmaar en omgeving (CR)"";""Zuidwest-Gelderland (CR)"";14"
"2015;""Alkmaar en omgeving (CR)"";""Zuidwest-Gelderland (CR)"";19"
"2016;""Alkmaar en omgeving (CR)"";""Zuidwest-Gelderland (CR)"";6"
"2017;""Alkmaar en omgeving (CR)"";""Zuidwest-Gelderland (CR)"";17"
"2018;""Alkmaar en omgeving (CR)"";""Zuidwest-Gelderland (CR)"";21"
"2019;""Alkmaar en omgeving (CR)"";""Zuidwest-Gelderland (CR)"";19"
"2020;""Alkmaar en omgeving (CR)"";""Zuidwest-Gelderland (CR)"";17"
"2011;""Alkmaar en omgeving (CR)"";""Utrecht (CR)"";249"
"2012;""Alkmaar en omgeving (CR)"";""Utrecht (CR)"";248"
"2013;""Alkmaar en omgeving (CR)"";""Utrecht (CR)"";238"
"2014;""Alkmaar en omgeving (CR)"";""Utrecht (CR)"";262"
"2015;""Alkmaar en omgeving (CR)"";""Utrecht (CR)"";257"
"2016;""Alkmaar en omgeving (CR)"";""Utrecht (CR)"";282"
"2017;""Alkmaar en omgeving (CR)"";""Utrecht (CR)"";253"
"2018;""Alkmaar en omgeving (CR)"";""Utrecht (CR)"";250"
"2019;""Alkmaar en omgeving (CR)"";""Utrecht (CR)"";246"
"2020;""Alkmaar en omgeving (CR)"";""Utrecht (CR)"";264"
"2011;""Alkmaar en omgeving (CR)"";""Kop van Noord-Holland (CR)"";1304"
"2012;""Alkmaar en omgeving (CR)"";""Kop van Noord-Holland (CR)"";1509"
"2013;""Alkmaar en omgeving (CR)"";""Kop van Noord-Holland (CR)"";1400"
"2014;""Alkmaar en omgeving (CR)"";""Kop van Noord-Holland (CR)"";1386"
"2015;""Alkmaar en omgeving (CR)"";""Kop van Noord-Holland (CR)"";1690"
"2016;""Alkmaar en omgeving (CR)"";""Kop van Noord-Holland (CR)"";1990"
"2017;""Alkmaar en omgeving (CR)"";""Kop van Noord-Holland (CR)"";1951"
"2018;""Alkmaar en omgeving (CR)"";""Kop van Noord-Holland (CR)"";1739"
"2019;""Alkmaar en omgeving (CR)"";""Kop van Noord-Holland (CR)"";1897"
"2020;""Alkmaar en omgeving (CR)"";""Kop van Noord-Holland (CR)"";1670"
"2011;""Alkmaar en omgeving (CR)"";""Alkmaar en omgeving (CR)"";3597"
"2012;""Alkmaar en omgeving (CR)"";""Alkmaar en omgeving (CR)"";3623"
"2013;""Alkmaar en omgeving (CR)"";""Alkmaar en omgeving (CR)"";3885"
"2014;""Alkmaar en omgeving (CR)"";""Alkmaar en omgeving (CR)"";3898"
"2015;""Alkmaar en omgeving (CR)"";""Alkmaar en omgeving (CR)"";4437"
"2016;""Alkmaar en omgeving (CR)"";""Alkmaar en omgeving (CR)"";4651"
"2017;""Alkmaar en omgeving (CR)"";""Alkmaar en omgeving (CR)"";4975"
"2018;""Alkmaar en omgeving (CR)"";""Alkmaar en omgeving (CR)"";4575"
"2019;""Alkmaar en omgeving (CR)"";""Alkmaar en omgeving (CR)"";4904"
"2020;""Alkmaar en omgeving (CR)"";""Alkmaar en omgeving (CR)"";4971"
"2011;""Alkmaar en omgeving (CR)"";""IJmond (CR)"";512"
"2012;""Alkmaar en omgeving (CR)"";""IJmond (CR)"";536"
"2013;""Alkmaar en omgeving (CR)"";""IJmond (CR)"";511"
"2014;""Alkmaar en omgeving (CR)"";""IJmond (CR)"";562"
"2015;""Alkmaar en omgeving (CR)"";""IJmond (CR)"";639"
"2016;""Alkmaar en omgeving (CR)"";""IJmond (CR)"";852"
"2017;""Alkmaar en omgeving (CR)"";""IJmond (CR)"";900"
"2018;""Alkmaar en omgeving (CR)"";""IJmond (CR)"";926"
"2019;""Alkmaar en omgeving (CR)"";""IJmond (CR)"";936"
"2020;""Alkmaar en omgeving (CR)"";""IJmond (CR)"";1081"
"2011;""Alkmaar en omgeving (CR)"";""Agglomeratie Haarlem (CR)"";229"
"2012;""Alkmaar en omgeving (CR)"";""Agglomeratie Haarlem (CR)"";222"
"2013;""Alkmaar en omgeving (CR)"";""Agglomeratie Haarlem (CR)"";220"
"2014;""Alkmaar en omgeving (CR)"";""Agglomeratie Haarlem (CR)"";239"
"2015;""Alkmaar en omgeving (CR)"";""Agglomeratie Haarlem (CR)"";299"
"2016;""Alkmaar en omgeving (CR)"";""Agglomeratie Haarlem (CR)"";332"
"2017;""Alkmaar en omgeving (CR)"";""Agglomeratie Haarlem (CR)"";397"
"2018;""Alkmaar en omgeving (CR)"";""Agglomeratie Haarlem (CR)"";403"
"2019;""Alkmaar en omgeving (CR)"";""Agglomeratie Haarlem (CR)"";367"
"2020;""Alkmaar en omgeving (CR)"";""Agglomeratie Haarlem (CR)"";448"
"2011;""Alkmaar en omgeving (CR)"";""Zaanstreek (CR)"";212"
"2012;""Alkmaar en omgeving (CR)"";""Zaanstreek (CR)"";207"
"2013;""Alkmaar en omgeving (CR)"";""Zaanstreek (CR)"";204"
"2014;""Alkmaar en omgeving (CR)"";""Zaanstreek (CR)"";236"
"2015;""Alkmaar en omgeving (CR)"";""Zaanstreek (CR)"";325"
"2016;""Alkmaar en omgeving (CR)"";""Zaanstreek (CR)"";425"
"2017;""Alkmaar en omgeving (CR)"";""Zaanstreek (CR)"";441"
"2018;""Alkmaar en omgeving (CR)"";""Zaanstreek (CR)"";533"
"2019;""Alkmaar en omgeving (CR)"";""Zaanstreek (CR)"";557"
"2020;""Alkmaar en omgeving (CR)"";""Zaanstreek (CR)"";590"
"2011;""Alkmaar en omgeving (CR)"";""Groot-Amsterdam (CR)"";1071"
"2012;""Alkmaar en omgeving (CR)"";""Groot-Amsterdam (CR)"";1124"
"2013;""Alkmaar en omgeving (CR)"";""Groot-Amsterdam (CR)"";1126"
"2014;""Alkmaar en omgeving (CR)"";""Groot-Amsterdam (CR)"";1148"
"2015;""Alkmaar en omgeving (CR)"";""Groot-Amsterdam (CR)"";1441"
"2016;""Alkmaar en omgeving (CR)"";""Groot-Amsterdam (CR)"";1614"
"2017;""Alkmaar en omgeving (CR)"";""Groot-Amsterdam (CR)"";1825"
"2018;""Alkmaar en omgeving (CR)"";""Groot-Amsterdam (CR)"";1756"
"2019;""Alkmaar en omgeving (CR)"";""Groot-Amsterdam (CR)"";1710"
"2020;""Alkmaar en omgeving (CR)"";""Groot-Amsterdam (CR)"";1971"
"2011;""Alkmaar en omgeving (CR)"";""Het Gooi en Vechtstreek (CR)"";74"
"2012;""Alkmaar en omgeving (CR)"";""Het Gooi en Vechtstreek (CR)"";85"
"2013;""Alkmaar en omgeving (CR)"";""Het Gooi en Vechtstreek (CR)"";85"
"2014;""Alkmaar en omgeving (CR)"";""Het Gooi en Vechtstreek (CR)"";84"
"2015;""Alkmaar en omgeving (CR)"";""Het Gooi en Vechtstreek (CR)"";77"
"2016;""Alkmaar en omgeving (CR)"";""Het Gooi en Vechtstreek (CR)"";98"
"2017;""Alkmaar en omgeving (CR)"";""Het Gooi en Vechtstreek (CR)"";84"
"2018;""Alkmaar en omgeving (CR)"";""Het Gooi en Vechtstreek (CR)"";81"
"2019;""Alkmaar en omgeving (CR)"";""Het Gooi en Vechtstreek (CR)"";83"
"2020;""Alkmaar en omgeving (CR)"";""Het Gooi en Vechtstreek (CR)"";91"
"2011;""Alkmaar en omgeving (CR)"";""Agglomeratie Leiden en Bollenstreek (CR)"";96"
"2012;""Alkmaar en omgeving (CR)"";""Agglomeratie Leiden en Bollenstreek (CR)"";75"
"2013;""Alkmaar en omgeving (CR)"";""Agglomeratie Leiden en Bollenstreek (CR)"";73"
"2014;""Alkmaar en omgeving (CR)"";""Agglomeratie Leiden en Bollenstreek (CR)"";93"
"2015;""Alkmaar en omgeving (CR)"";""Agglomeratie Leiden en Bollenstreek (CR)"";100"
"2016;""Alkmaar en omgeving (CR)"";""Agglomeratie Leiden en Bollenstreek (CR)"";96"
"2017;""Alkmaar en omgeving (CR)"";""Agglomeratie Leiden en Bollenstreek (CR)"";98"
"2018;""Alkmaar en omgeving (CR)"";""Agglomeratie Leiden en Bollenstreek (CR)"";102"
"2019;""Alkmaar en omgeving (CR)"";""Agglomeratie Leiden en Bollenstreek (CR)"";101"
"2020;""Alkmaar en omgeving (CR)"";""Agglomeratie Leiden en Bollenstreek (CR)"";146"
"2011;""Alkmaar en omgeving (CR)"";""Agglomeratie 's-Gravenhage (CR)"";128"
"2012;""Alkmaar en omgeving (CR)"";""Agglomeratie 's-Gravenhage (CR)"";132"
"2013;""Alkmaar en omgeving (CR)"";""Agglomeratie 's-Gravenhage (CR)"";108"
"2014;""Alkmaar en omgeving (CR)"";""Agglomeratie 's-Gravenhage (CR)"";132"
"2015;""Alkmaar en omgeving (CR)"";""Agglomeratie 's-Gravenhage (CR)"";142"
"2016;""Alkmaar en omgeving (CR)"";""Agglomeratie 's-Gravenhage (CR)"";163"
"2017;""Alkmaar en omgeving (CR)"";""Agglomeratie 's-Gravenhage (CR)"";162"
"2018;""Alkmaar en omgeving (CR)"";""Agglomeratie 's-Gravenhage (CR)"";171"
"2019;""Alkmaar en omgeving (CR)"";""Agglomeratie 's-Gravenhage (CR)"";157"
"2020;""Alkmaar en omgeving (CR)"";""Agglomeratie 's-Gravenhage (CR)"";170"
"2011;""Alkmaar en omgeving (CR)"";""Delft en Westland (CR)"";31"
"2012;""Alkmaar en omgeving (CR)"";""Delft en Westland (CR)"";20"
"2013;""Alkmaar en omgeving (CR)"";""Delft en Westland (CR)"";29"
"2014;""Alkmaar en omgeving (CR)"";""Delft en Westland (CR)"";46"
"2015;""Alkmaar en omgeving (CR)"";""Delft en Westland (CR)"";54"
"2016;""Alkmaar en omgeving (CR)"";""Delft en Westland (CR)"";44"
"2017;""Alkmaar en omgeving (CR)"";""Delft en Westland (CR)"";40"
"2018;""Alkmaar en omgeving (CR)"";""Delft en Westland (CR)"";45"
"2019;""Alkmaar en omgeving (CR)"";""Delft en Westland (CR)"";46"
"2020;""Alkmaar en omgeving (CR)"";""Delft en Westland (CR)"";43"
"2011;""Alkmaar en omgeving (CR)"";""Oost-Zuid-Holland (CR)"";31"
"2012;""Alkmaar en omgeving (CR)"";""Oost-Zuid-Holland (CR)"";28"
"2013;""Alkmaar en omgeving (CR)"";""Oost-Zuid-Holland (CR)"";27"
"2014;""Alkmaar en omgeving (CR)"";""Oost-Zuid-Holland (CR)"";32"
"2015;""Alkmaar en omgeving (CR)"";""Oost-Zuid-Holland (CR)"";45"
"2016;""Alkmaar en omgeving (CR)"";""Oost-Zuid-Holland (CR)"";56"
"2017;""Alkmaar en omgeving (CR)"";""Oost-Zuid-Holland (CR)"";44"
"2018;""Alkmaar en omgeving (CR)"";""Oost-Zuid-Holland (CR)"";48"
"2019;""Alkmaar en omgeving (CR)"";""Oost-Zuid-Holland (CR)"";67"
"2020;""Alkmaar en omgeving (CR)"";""Oost-Zuid-Holland (CR)"";55"
"2011;""Alkmaar en omgeving (CR)"";""Groot-Rijnmond (CR)"";138"
"2012;""Alkmaar en omgeving (CR)"";""Groot-Rijnmond (CR)"";145"
"2013;""Alkmaar en omgeving (CR)"";""Groot-Rijnmond (CR)"";130"
"2014;""Alkmaar en omgeving (CR)"";""Groot-Rijnmond (CR)"";131"
"2015;""Alkmaar en omgeving (CR)"";""Groot-Rijnmond (CR)"";135"
"2016;""Alkmaar en omgeving (CR)"";""Groot-Rijnmond (CR)"";138"
"2017;""Alkmaar en omgeving (CR)"";""Groot-Rijnmond (CR)"";118"
"2018;""Alkmaar en omgeving (CR)"";""Groot-Rijnmond (CR)"";140"
"2019;""Alkmaar en omgeving (CR)"";""Groot-Rijnmond (CR)"";142"
"2020;""Alkmaar en omgeving (CR)"";""Groot-Rijnmond (CR)"";160"
"2011;""Alkmaar en omgeving (CR)"";""Zuidoost-Zuid-Holland (CR)"";37"
"2012;""Alkmaar en omgeving (CR)"";""Zuidoost-Zuid-Holland (CR)"";30"
"2013;""Alkmaar en omgeving (CR)"";""Zuidoost-Zuid-Holland (CR)"";27"
"2014;""Alkmaar en omgeving (CR)"";""Zuidoost-Zuid-Holland (CR)"";28"
"2015;""Alkmaar en omgeving (CR)"";""Zuidoost-Zuid-Holland (CR)"";43"
"2016;""Alkmaar en omgeving (CR)"";""Zuidoost-Zuid-Holland (CR)"";24"
"2017;""Alkmaar en omgeving (CR)"";""Zuidoost-Zuid-Holland (CR)"";21"
"2018;""Alkmaar en omgeving (CR)"";""Zuidoost-Zuid-Holland (CR)"";31"
"2019;""Alkmaar en omgeving (CR)"";""Zuidoost-Zuid-Holland (CR)"";51"
"2020;""Alkmaar en omgeving (CR)"";""Zuidoost-Zuid-Holland (CR)"";34"
"2011;""Alkmaar en omgeving (CR)"";""Zeeuwsch-Vlaanderen (CR)"";8"
"2012;""Alkmaar en omgeving (CR)"";""Zeeuwsch-Vlaanderen (CR)"";6"
"2013;""Alkmaar en omgeving (CR)"";""Zeeuwsch-Vlaanderen (CR)"";4"
"2014;""Alkmaar en omgeving (CR)"";""Zeeuwsch-Vlaanderen (CR)"";11"
"2015;""Alkmaar en omgeving (CR)"";""Zeeuwsch-Vlaanderen (CR)"";9"
"2016;""Alkmaar en omgeving (CR)"";""Zeeuwsch-Vlaanderen (CR)"";7"
"2017;""Alkmaar en omgeving (CR)"";""Zeeuwsch-Vlaanderen (CR)"";7"
"2018;""Alkmaar en omgeving (CR)"";""Zeeuwsch-Vlaanderen (CR)"";6"
"2019;""Alkmaar en omgeving (CR)"";""Zeeuwsch-Vlaanderen (CR)"";7"
"2020;""Alkmaar en omgeving (CR)"";""Zeeuwsch-Vlaanderen (CR)"";9"
"2011;""Alkmaar en omgeving (CR)"";""Overig Zeeland (CR)"";31"
"2012;""Alkmaar en omgeving (CR)"";""Overig Zeeland (CR)"";26"
"2013;""Alkmaar en omgeving (CR)"";""Overig Zeeland (CR)"";14"
"2014;""Alkmaar en omgeving (CR)"";""Overig Zeeland (CR)"";22"
"2015;""Alkmaar en omgeving (CR)"";""Overig Zeeland (CR)"";25"
"2016;""Alkmaar en omgeving (CR)"";""Overig Zeeland (CR)"";33"
"2017;""Alkmaar en omgeving (CR)"";""Overig Zeeland (CR)"";19"
"2018;""Alkmaar en omgeving (CR)"";""Overig Zeeland (CR)"";24"
"2019;""Alkmaar en omgeving (CR)"";""Overig Zeeland (CR)"";20"
"2020;""Alkmaar en omgeving (CR)"";""Overig Zeeland (CR)"";35"
"2011;""Alkmaar en omgeving (CR)"";""West-Noord-Brabant (CR)"";34"
"2012;""Alkmaar en omgeving (CR)"";""West-Noord-Brabant (CR)"";39"
"2013;""Alkmaar en omgeving (CR)"";""West-Noord-Brabant (CR)"";43"
"2014;""Alkmaar en omgeving (CR)"";""West-Noord-Brabant (CR)"";41"
"2015;""Alkmaar en omgeving (CR)"";""West-Noord-Brabant (CR)"";45"
"2016;""Alkmaar en omgeving (CR)"";""West-Noord-Brabant (CR)"";49"
"2017;""Alkmaar en omgeving (CR)"";""West-Noord-Brabant (CR)"";46"
"2018;""Alkmaar en omgeving (CR)"";""West-Noord-Brabant (CR)"";43"
"2019;""Alkmaar en omgeving (CR)"";""West-Noord-Brabant (CR)"";56"
"2020;""Alkmaar en omgeving (CR)"";""West-Noord-Brabant (CR)"";35"
"2011;""Alkmaar en omgeving (CR)"";""Midden-Noord-Brabant (CR)"";23"
"2012;""Alkmaar en omgeving (CR)"";""Midden-Noord-Brabant (CR)"";33"
"2013;""Alkmaar en omgeving (CR)"";""Midden-Noord-Brabant (CR)"";20"
"2014;""Alkmaar en omgeving (CR)"";""Midden-Noord-Brabant (CR)"";23"
"2015;""Alkmaar en omgeving (CR)"";""Midden-Noord-Brabant (CR)"";24"
"2016;""Alkmaar en omgeving (CR)"";""Midden-Noord-Brabant (CR)"";110"
"2017;""Alkmaar en omgeving (CR)"";""Midden-Noord-Brabant (CR)"";48"
"2018;""Alkmaar en omgeving (CR)"";""Midden-Noord-Brabant (CR)"";70"
"2019;""Alkmaar en omgeving (CR)"";""Midden-Noord-Brabant (CR)"";163"
"2020;""Alkmaar en omgeving (CR)"";""Midden-Noord-Brabant (CR)"";213"
"2011;""Alkmaar en omgeving (CR)"";""Noordoost-Noord-Brabant (CR)"";37"
"2012;""Alkmaar en omgeving (CR)"";""Noordoost-Noord-Brabant (CR)"";46"
"2013;""Alkmaar en omgeving (CR)"";""Noordoost-Noord-Brabant (CR)"";42"
"2014;""Alkmaar en omgeving (CR)"";""Noordoost-Noord-Brabant (CR)"";54"
"2015;""Alkmaar en omgeving (CR)"";""Noordoost-Noord-Brabant (CR)"";53"
"2016;""Alkmaar en omgeving (CR)"";""Noordoost-Noord-Brabant (CR)"";68"
"2017;""Alkmaar en omgeving (CR)"";""Noordoost-Noord-Brabant (CR)"";61"
"2018;""Alkmaar en omgeving (CR)"";""Noordoost-Noord-Brabant (CR)"";41"
"2019;""Alkmaar en omgeving (CR)"";""Noordoost-Noord-Brabant (CR)"";37"
"2020;""Alkmaar en omgeving (CR)"";""Noordoost-Noord-Brabant (CR)"";42"
"2011;""Alkmaar en omgeving (CR)"";""Zuidoost-Noord-Brabant (CR)"";50"
"2012;""Alkmaar en omgeving (CR)"";""Zuidoost-Noord-Brabant (CR)"";40"
"2013;""Alkmaar en omgeving (CR)"";""Zuidoost-Noord-Brabant (CR)"";48"
"2014;""Alkmaar en omgeving (CR)"";""Zuidoost-Noord-Brabant (CR)"";34"
"2015;""Alkmaar en omgeving (CR)"";""Zuidoost-Noord-Brabant (CR)"";68"
"2016;""Alkmaar en omgeving (CR)"";""Zuidoost-Noord-Brabant (CR)"";125"
"2017;""Alkmaar en omgeving (CR)"";""Zuidoost-Noord-Brabant (CR)"";141"
"2018;""Alkmaar en omgeving (CR)"";""Zuidoost-Noord-Brabant (CR)"";52"
"2019;""Alkmaar en omgeving (CR)"";""Zuidoost-Noord-Brabant (CR)"";60"
"2020;""Alkmaar en omgeving (CR)"";""Zuidoost-Noord-Brabant (CR)"";68"
"2011;""Alkmaar en omgeving (CR)"";""Noord-Limburg (CR)"";25"
"2012;""Alkmaar en omgeving (CR)"";""Noord-Limburg (CR)"";20"
"2013;""Alkmaar en omgeving (CR)"";""Noord-Limburg (CR)"";13"
"2014;""Alkmaar en omgeving (CR)"";""Noord-Limburg (CR)"";16"
"2015;""Alkmaar en omgeving (CR)"";""Noord-Limburg (CR)"";23"
"2016;""Alkmaar en omgeving (CR)"";""Noord-Limburg (CR)"";17"
"2017;""Alkmaar en omgeving (CR)"";""Noord-Limburg (CR)"";24"
"2018;""Alkmaar en omgeving (CR)"";""Noord-Limburg (CR)"";9"
"2019;""Alkmaar en omgeving (CR)"";""Noord-Limburg (CR)"";10"
"2020;""Alkmaar en omgeving (CR)"";""Noord-Limburg (CR)"";9"
"2011;""Alkmaar en omgeving (CR)"";""Midden-Limburg (CR)"";12"
"2012;""Alkmaar en omgeving (CR)"";""Midden-Limburg (CR)"";8"
"2013;""Alkmaar en omgeving (CR)"";""Midden-Limburg (CR)"";23"
"2014;""Alkmaar en omgeving (CR)"";""Midden-Limburg (CR)"";8"
"2015;""Alkmaar en omgeving (CR)"";""Midden-Limburg (CR)"";18"
"2016;""Alkmaar en omgeving (CR)"";""Midden-Limburg (CR)"";14"
"2017;""Alkmaar en omgeving (CR)"";""Midden-Limburg (CR)"";18"
"2018;""Alkmaar en omgeving (CR)"";""Midden-Limburg (CR)"";30"
"2019;""Alkmaar en omgeving (CR)"";""Midden-Limburg (CR)"";14"
"2020;""Alkmaar en omgeving (CR)"";""Midden-Limburg (CR)"";11"
"2011;""Alkmaar en omgeving (CR)"";""Zuid-Limburg (CR)"";50"
"2012;""Alkmaar en omgeving (CR)"";""Zuid-Limburg (CR)"";41"
"2013;""Alkmaar en omgeving (CR)"";""Zuid-Limburg (CR)"";40"
"2014;""Alkmaar en omgeving (CR)"";""Zuid-Limburg (CR)"";49"
"2015;""Alkmaar en omgeving (CR)"";""Zuid-Limburg (CR)"";60"
"2016;""Alkmaar en omgeving (CR)"";""Zuid-Limburg (CR)"";51"
"2017;""Alkmaar en omgeving (CR)"";""Zuid-Limburg (CR)"";46"
"2018;""Alkmaar en omgeving (CR)"";""Zuid-Limburg (CR)"";50"
"2019;""Alkmaar en omgeving (CR)"";""Zuid-Limburg (CR)"";35"
"2020;""Alkmaar en omgeving (CR)"";""Zuid-Limburg (CR)"";44"
"2011;""Alkmaar en omgeving (CR)"";""Flevoland (CR)"";124"
"2012;""Alkmaar en omgeving (CR)"";""Flevoland (CR)"";105"
"2013;""Alkmaar en omgeving (CR)"";""Flevoland (CR)"";145"
"2014;""Alkmaar en omgeving (CR)"";""Flevoland (CR)"";136"
"2015;""Alkmaar en omgeving (CR)"";""Flevoland (CR)"";203"
"2016;""Alkmaar en omgeving (CR)"";""Flevoland (CR)"";183"
"2017;""Alkmaar en omgeving (CR)"";""Flevoland (CR)"";182"
"2018;""Alkmaar en omgeving (CR)"";""Flevoland (CR)"";171"
"2019;""Alkmaar en omgeving (CR)"";""Flevoland (CR)"";181"
"2020;""Alkmaar en omgeving (CR)"";""Flevoland (CR)"";182"
"2011;""IJmond (CR)"";""Oost-Groningen (CR)"";14"
"2012;""IJmond (CR)"";""Oost-Groningen (CR)"";16"
"2013;""IJmond (CR)"";""Oost-Groningen (CR)"";15"
"2014;""IJmond (CR)"";""Oost-Groningen (CR)"";17"
"2015;""IJmond (CR)"";""Oost-Groningen (CR)"";41"
"2016;""IJmond (CR)"";""Oost-Groningen (CR)"";21"
"2017;""IJmond (CR)"";""Oost-Groningen (CR)"";12"
"2018;""IJmond (CR)"";""Oost-Groningen (CR)"";37"
"2019;""IJmond (CR)"";""Oost-Groningen (CR)"";29"
"2020;""IJmond (CR)"";""Oost-Groningen (CR)"";27"
"2011;""IJmond (CR)"";""Delfzijl en omgeving (CR)"";2"
"2012;""IJmond (CR)"";""Delfzijl en omgeving (CR)"";5"
