"ID;""RegioVanVestiging"";""RegioVanVertrek"";""Perioden"";""TussenGemeentenVerhuisdePersonen_1"""
"66674;""CR01  "";""CR22  "";""2013JJ00"";""       9"""
"66675;""CR01  "";""CR22  "";""2014JJ00"";""      11"""
"66676;""CR01  "";""CR22  "";""2015JJ00"";""      15"""
"66677;""CR01  "";""CR22  "";""2016JJ00"";""      23"""
"66678;""CR01  "";""CR22  "";""2017JJ00"";""      17"""
"66679;""CR01  "";""CR22  "";""2018JJ00"";""      14"""
"66680;""CR01  "";""CR23  "";""2011JJ00"";""      56"""
"66681;""CR01  "";""CR23  "";""2012JJ00"";""      64"""
"66682;""CR01  "";""CR23  "";""2013JJ00"";""      40"""
"66683;""CR01  "";""CR23  "";""2014JJ00"";""      40"""
"66684;""CR01  "";""CR23  "";""2015JJ00"";""      67"""
"66685;""CR01  "";""CR23  "";""2016JJ00"";""     113"""
"66686;""CR01  "";""CR23  "";""2017JJ00"";""      99"""
"66687;""CR01  "";""CR23  "";""2018JJ00"";""     106"""
"66688;""CR01  "";""CR24  "";""2011JJ00"";""      25"""
"66689;""CR01  "";""CR24  "";""2012JJ00"";""      33"""
"66690;""CR01  "";""CR24  "";""2013JJ00"";""      15"""
"66691;""CR01  "";""CR24  "";""2014JJ00"";""      12"""
"66692;""CR01  "";""CR24  "";""2015JJ00"";""      16"""
"66693;""CR01  "";""CR24  "";""2016JJ00"";""      31"""
"66694;""CR01  "";""CR24  "";""2017JJ00"";""      19"""
"66695;""CR01  "";""CR24  "";""2018JJ00"";""      14"""
"66696;""CR01  "";""CR25  "";""2011JJ00"";""      55"""
"66697;""CR01  "";""CR25  "";""2012JJ00"";""      19"""
"66698;""CR01  "";""CR25  "";""2013JJ00"";""      28"""
"66699;""CR01  "";""CR25  "";""2014JJ00"";""      14"""
"66700;""CR01  "";""CR25  "";""2015JJ00"";""      38"""
"66701;""CR01  "";""CR25  "";""2016JJ00"";""      23"""
"66702;""CR01  "";""CR25  "";""2017JJ00"";""      28"""
"66703;""CR01  "";""CR25  "";""2018JJ00"";""      34"""
"66704;""CR01  "";""CR26  "";""2011JJ00"";""      66"""
"66705;""CR01  "";""CR26  "";""2012JJ00"";""      56"""
"66706;""CR01  "";""CR26  "";""2013JJ00"";""      39"""
"66707;""CR01  "";""CR26  "";""2014JJ00"";""      44"""
"66708;""CR01  "";""CR26  "";""2015JJ00"";""      75"""
"66709;""CR01  "";""CR26  "";""2016JJ00"";""      43"""
"66710;""CR01  "";""CR26  "";""2017JJ00"";""      90"""
"66711;""CR01  "";""CR26  "";""2018JJ00"";""      56"""
"66712;""CR01  "";""CR27  "";""2011JJ00"";""      14"""
"66713;""CR01  "";""CR27  "";""2012JJ00"";""      15"""
"66714;""CR01  "";""CR27  "";""2013JJ00"";""       4"""
"66715;""CR01  "";""CR27  "";""2014JJ00"";""       3"""
"66716;""CR01  "";""CR27  "";""2015JJ00"";""       8"""
"66717;""CR01  "";""CR27  "";""2016JJ00"";""      15"""
"66718;""CR01  "";""CR27  "";""2017JJ00"";""      16"""
"66719;""CR01  "";""CR27  "";""2018JJ00"";""       7"""
"66720;""CR01  "";""CR28  "";""2011JJ00"";""      25"""
"66721;""CR01  "";""CR28  "";""2012JJ00"";""      25"""
"66722;""CR01  "";""CR28  "";""2013JJ00"";""      19"""
"66723;""CR01  "";""CR28  "";""2014JJ00"";""      10"""
"66724;""CR01  "";""CR28  "";""2015JJ00"";""      17"""
"66725;""CR01  "";""CR28  "";""2016JJ00"";""      22"""
"66726;""CR01  "";""CR28  "";""2017JJ00"";""      10"""
"66727;""CR01  "";""CR28  "";""2018JJ00"";""      39"""
"66728;""CR01  "";""CR29  "";""2011JJ00"";""      70"""
"66729;""CR01  "";""CR29  "";""2012JJ00"";""      63"""
"66730;""CR01  "";""CR29  "";""2013JJ00"";""      78"""
"66731;""CR01  "";""CR29  "";""2014JJ00"";""      61"""
"66732;""CR01  "";""CR29  "";""2015JJ00"";""      72"""
"66733;""CR01  "";""CR29  "";""2016JJ00"";""      89"""
"66734;""CR01  "";""CR29  "";""2017JJ00"";""      94"""
"66735;""CR01  "";""CR29  "";""2018JJ00"";""      93"""
"66736;""CR01  "";""CR30  "";""2011JJ00"";""      19"""
"66737;""CR01  "";""CR30  "";""2012JJ00"";""      33"""
"66738;""CR01  "";""CR30  "";""2013JJ00"";""      19"""
"66739;""CR01  "";""CR30  "";""2014JJ00"";""      26"""
"66740;""CR01  "";""CR30  "";""2015JJ00"";""      10"""
"66741;""CR01  "";""CR30  "";""2016JJ00"";""      22"""
"66742;""CR01  "";""CR30  "";""2017JJ00"";""      13"""
"66743;""CR01  "";""CR30  "";""2018JJ00"";""      21"""
"66744;""CR01  "";""CR31  "";""2011JJ00"";""       3"""
"66745;""CR01  "";""CR31  "";""2012JJ00"";""       4"""
"66746;""CR01  "";""CR31  "";""2013JJ00"";""       6"""
"66747;""CR01  "";""CR31  "";""2014JJ00"";""       1"""
"66748;""CR01  "";""CR31  "";""2015JJ00"";""       0"""
"66749;""CR01  "";""CR31  "";""2016JJ00"";""       2"""
"66750;""CR01  "";""CR31  "";""2017JJ00"";""       1"""
"66751;""CR01  "";""CR31  "";""2018JJ00"";""       0"""
"66752;""CR01  "";""CR32  "";""2011JJ00"";""      36"""
"66753;""CR01  "";""CR32  "";""2012JJ00"";""      18"""
"66754;""CR01  "";""CR32  "";""2013JJ00"";""      12"""
"66755;""CR01  "";""CR32  "";""2014JJ00"";""      14"""
"66756;""CR01  "";""CR32  "";""2015JJ00"";""      23"""
"66757;""CR01  "";""CR32  "";""2016JJ00"";""       9"""
"66758;""CR01  "";""CR32  "";""2017JJ00"";""      17"""
"66759;""CR01  "";""CR32  "";""2018JJ00"";""      10"""
"66760;""CR01  "";""CR33  "";""2011JJ00"";""      25"""
"66761;""CR01  "";""CR33  "";""2012JJ00"";""       8"""
"66762;""CR01  "";""CR33  "";""2013JJ00"";""      19"""
"66763;""CR01  "";""CR33  "";""2014JJ00"";""      15"""
"66764;""CR01  "";""CR33  "";""2015JJ00"";""      20"""
"66765;""CR01  "";""CR33  "";""2016JJ00"";""      22"""
"66766;""CR01  "";""CR33  "";""2017JJ00"";""      18"""
"66767;""CR01  "";""CR33  "";""2018JJ00"";""      25"""
"66768;""CR01  "";""CR34  "";""2011JJ00"";""      17"""
"66769;""CR01  "";""CR34  "";""2012JJ00"";""      40"""
"66770;""CR01  "";""CR34  "";""2013JJ00"";""      15"""
"66771;""CR01  "";""CR34  "";""2014JJ00"";""      11"""
"66772;""CR01  "";""CR34  "";""2015JJ00"";""      29"""
"66773;""CR01  "";""CR34  "";""2016JJ00"";""      44"""
"66774;""CR01  "";""CR34  "";""2017JJ00"";""      11"""
"66775;""CR01  "";""CR34  "";""2018JJ00"";""      19"""
"66776;""CR01  "";""CR35  "";""2011JJ00"";""      64"""
"66777;""CR01  "";""CR35  "";""2012JJ00"";""      39"""
"66778;""CR01  "";""CR35  "";""2013JJ00"";""      15"""
"66779;""CR01  "";""CR35  "";""2014JJ00"";""      25"""
"66780;""CR01  "";""CR35  "";""2015JJ00"";""      20"""
"66781;""CR01  "";""CR35  "";""2016JJ00"";""      34"""
"66782;""CR01  "";""CR35  "";""2017JJ00"";""      28"""
"66783;""CR01  "";""CR35  "";""2018JJ00"";""      20"""
"66784;""CR01  "";""CR36  "";""2011JJ00"";""      30"""
"66785;""CR01  "";""CR36  "";""2012JJ00"";""      19"""
"66786;""CR01  "";""CR36  "";""2013JJ00"";""      19"""
"66787;""CR01  "";""CR36  "";""2014JJ00"";""      16"""
"66788;""CR01  "";""CR36  "";""2015JJ00"";""      13"""
"66789;""CR01  "";""CR36  "";""2016JJ00"";""     130"""
"66790;""CR01  "";""CR36  "";""2017JJ00"";""     144"""
"66791;""CR01  "";""CR36  "";""2018JJ00"";""      17"""
"66792;""CR01  "";""CR37  "";""2011JJ00"";""      38"""
"66793;""CR01  "";""CR37  "";""2012JJ00"";""      13"""
"66794;""CR01  "";""CR37  "";""2013JJ00"";""      14"""
"66795;""CR01  "";""CR37  "";""2014JJ00"";""      15"""
"66796;""CR01  "";""CR37  "";""2015JJ00"";""       8"""
