"Regio's";"Codes en namen van gemeenten/Code (code)";"Codes en namen van gemeenten/Naam (naam)";"Codes en namen van gemeenten/Sortering naam (naam)"
"Tiel";"GM0281    ";"Tiel                                              ";"Tiel                                              "
"Tilburg";"GM0855    ";"Tilburg                                           ";"Tilburg                                           "
"Tubbergen";"GM0183    ";"Tubbergen                                         ";"Tubbergen                                         "
"Twenterand";"GM1700    ";"Twenterand                                        ";"Twenterand                                        "
"Tynaarlo";"GM1730    ";"Tynaarlo                                          ";"Tynaarlo                                          "
"Tytsjerksteradiel";"GM0737    ";"Tytsjerksteradiel                                 ";"Tytsjerksteradiel                                 "
"Uden";"GM0856    ";"Uden                                              ";"Uden                                              "
"Uitgeest";"GM0450    ";"Uitgeest                                          ";"Uitgeest                                          "
"Uithoorn";"GM0451    ";"Uithoorn                                          ";"Uithoorn                                          "
"Urk";"GM0184    ";"Urk                                               ";"Urk                                               "
"Utrecht (gemeente)";"GM0344    ";"Utrecht                                           ";"Utrecht                                           "
"Utrechtse Heuvelrug";"GM1581    ";"Utrechtse Heuvelrug                               ";"Utrechtse Heuvelrug                               "
"Vaals";"GM0981    ";"Vaals                                             ";"Vaals                                             "
"Valkenburg aan de Geul";"GM0994    ";"Valkenburg aan de Geul                            ";"Valkenburg aan de Geul                            "
"Valkenswaard";"GM0858    ";"Valkenswaard                                      ";"Valkenswaard                                      "
"Veendam";"GM0047    ";"Veendam                                           ";"Veendam                                           "
"Veenendaal";"GM0345    ";"Veenendaal                                        ";"Veenendaal                                        "
"Veere";"GM0717    ";"Veere                                             ";"Veere                                             "
"Veldhoven";"GM0861    ";"Veldhoven                                         ";"Veldhoven                                         "
"Velsen";"GM0453    ";"Velsen                                            ";"Velsen                                            "
"Venlo";"GM0983    ";"Venlo                                             ";"Venlo                                             "
"Venray";"GM0984    ";"Venray                                            ";"Venray                                            "
"Vianen";"GM0620    ";"Vianen                                            ";"Vianen                                            "
"Vlaardingen";"GM0622    ";"Vlaardingen                                       ";"Vlaardingen                                       "
"Vlieland";"GM0096    ";"Vlieland                                          ";"Vlieland                                          "
"Vlissingen";"GM0718    ";"Vlissingen                                        ";"Vlissingen                                        "
"Voerendaal";"GM0986    ";"Voerendaal                                        ";"Voerendaal                                        "
"Voorschoten";"GM0626    ";"Voorschoten                                       ";"Voorschoten                                       "
"Voorst";"GM0285    ";"Voorst                                            ";"Voorst                                            "
"Vught";"GM0865    ";"Vught                                             ";"Vught                                             "
"Waadhoeke";"GM1949    ";"Waadhoeke                                         ";"Waadhoeke                                         "
"Waalre";"GM0866    ";"Waalre                                            ";"Waalre                                            "
"Waalwijk";"GM0867    ";"Waalwijk                                          ";"Waalwijk                                          "
"Waddinxveen";"GM0627    ";"Waddinxveen                                       ";"Waddinxveen                                       "
"Wageningen";"GM0289    ";"Wageningen                                        ";"Wageningen                                        "
"Wassenaar";"GM0629    ";"Wassenaar                                         ";"Wassenaar                                         "
"Waterland";"GM0852    ";"Waterland                                         ";"Waterland                                         "
