from_id,to_id,from,to,jobs,distance
7,18,Noord-Drenthe (CR),Kop van Noord-Holland (CR),0.1,146
7,24,Noord-Drenthe (CR),Het Gooi en Vechtstreek (CR),0.1,142.8
7,25,Noord-Drenthe (CR),Agglomeratie Leiden en Bollenstreek (CR),0.1,195.5
7,28,Noord-Drenthe (CR),Oost-Zuid-Holland (CR),0.1,188.5
7,30,Noord-Drenthe (CR),Zuidoost-Zuid-Holland (CR),0.1,206.8
7,33,Noord-Drenthe (CR),West-Noord-Brabant (CR),0.1,226.9
7,35,Noord-Drenthe (CR),Noordoost-Noord-Brabant (CR),0.1,189.3
8,5,Zuidoost-Drenthe (CR),Zuidwest-Friesland (CR),0.1,101.3
8,14,Zuidoost-Drenthe (CR),Achterhoek (CR),0.1,97.6
8,16,Zuidoost-Drenthe (CR),Zuidwest-Gelderland (CR),0.1,169.5
8,18,Zuidoost-Drenthe (CR),Kop van Noord-Holland (CR),0.1,167.5
8,25,Zuidoost-Drenthe (CR),Agglomeratie Leiden en Bollenstreek (CR),0.1,199.3
8,26,Zuidoost-Drenthe (CR),Agglomeratie 's-Gravenhage (CR),0.1,211.7
8,28,Zuidoost-Drenthe (CR),Oost-Zuid-Holland (CR),0.1,190.7
8,30,Zuidoost-Drenthe (CR),Zuidoost-Zuid-Holland (CR),0.1,203.3
8,33,Zuidoost-Drenthe (CR),West-Noord-Brabant (CR),0.1,225.1
8,34,Zuidoost-Drenthe (CR),Midden-Noord-Brabant (CR),0.1,207.2
8,35,Zuidoost-Drenthe (CR),Noordoost-Noord-Brabant (CR),0.1,179.1
9,2,Zuidwest-Drenthe (CR),Delfzijl en omgeving (CR),0.1,90.6
9,14,Zuidwest-Drenthe (CR),Achterhoek (CR),0.1,83.6
9,18,Zuidwest-Drenthe (CR),Kop van Noord-Holland (CR),0.1,131.3
9,24,Zuidwest-Drenthe (CR),Het Gooi en Vechtstreek (CR),0.1,106.3
9,25,Zuidwest-Drenthe (CR),Agglomeratie Leiden en Bollenstreek (CR),0.1,150.5
9,26,Zuidwest-Drenthe (CR),Agglomeratie 's-Gravenhage (CR),0.1,174.3
9,28,Zuidwest-Drenthe (CR),Oost-Zuid-Holland (CR),0.1,158.5
